number,value,datetime_start,datetime_complete,duration,params_batchsize,params_conv_filter_1,params_conv_filter_2,params_dropout_l,params_lr,params_n_layers_conv1,params_n_layers_conv2,params_n_layers_fc,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
134,0.917741935483871,2023-04-10 01:14:45.237637,2023-04-10 01:15:34.757598,0 days 00:00:49.519961,124,64,3,0.20265504134633375,0.0008931283088361283,2,0,2,247,95.0,,Adam,COMPLETE
66,0.9175,2023-04-10 00:16:24.585253,2023-04-10 00:17:16.299716,0 days 00:00:51.714463,120,63,3,0.15474916722849452,0.0005141571104814247,2,0,2,246,354.0,,Adam,COMPLETE
60,0.9171668667466987,2023-04-10 00:11:23.198334,2023-04-10 00:12:11.535682,0 days 00:00:48.337348,119,61,4,0.17579353842193157,0.0004510867747516719,2,0,2,253,370.0,,Adam,COMPLETE
123,0.917106867127184,2023-04-10 01:05:20.899623,2023-04-10 01:06:13.530927,0 days 00:00:52.631304,107,86,4,0.12757987131499005,0.00426552532040333,2,0,2,371,360.0,,Adam,COMPLETE
126,0.9166666666666666,2023-04-10 01:07:53.315889,2023-04-10 01:08:42.832093,0 days 00:00:49.516204,104,84,4,0.10009618563689782,0.0017019206965474829,2,0,2,357,370.0,,Adam,COMPLETE
115,0.9165971643035863,2023-04-10 00:58:28.725691,2023-04-10 00:59:16.410018,0 days 00:00:47.684327,109,83,5,0.19199110302437083,0.0038067294175708585,2,0,2,337,396.0,,Adam,COMPLETE
50,0.9160613397901534,2023-04-10 00:02:40.595542,2023-04-10 00:03:27.271485,0 days 00:00:46.675943,118,67,5,0.20997511895747867,0.0004718691655471055,2,0,2,350,357.0,,Adam,COMPLETE
117,0.9159146841673503,2023-04-10 01:00:13.064216,2023-04-10 01:01:05.730552,0 days 00:00:52.666336,106,82,6,0.10784270497149953,0.001504665510039074,2,0,2,362,385.0,,Adam,COMPLETE
74,0.9156429156429157,2023-04-10 00:23:19.029354,2023-04-10 00:24:08.126875,0 days 00:00:49.097521,111,61,3,0.2065781218795616,0.0003115860404945463,2,0,2,295,367.0,,Adam,COMPLETE
73,0.9154351395730707,2023-04-10 00:22:22.486231,2023-04-10 00:23:19.019163,0 days 00:00:56.532932,116,64,4,0.15864022669198802,0.00022145464588049007,2,0,2,275,340.0,,Adam,COMPLETE
