optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
SGD,32.0,0.001,L1-Dropout,0.0,0.01,0.3,0.4920886158943176,2.2399146616458894,0.48552969098091125,2.3131839908844185,143.048
SGD,32.0,0.001,Elastic-Dropout,0.001,0.001,0.3,0.4889240562915802,2.2940072119235992,0.441925048828125,2.4129356478364015,146.372
SGD,32.0,0.001,Elastic-Dropout,0.01,0.001,0.3,0.48259493708610535,2.389744985103607,0.455620139837265,2.4361519729795535,144.09
SGD,32.0,0.001,L2,0.001,0.0,0.0,0.4778481125831604,2.272725135087967,0.5746769905090332,2.05481413622533,139.918
SGD,32.0,0.001,L1-Dropout,0.0,0.001,0.3,0.4636076092720032,2.345452791452408,0.4187338352203369,2.4654023295099083,142.882
SGD,32.0,0.001,Elastic-Dropout,0.001,0.01,0.3,0.46202531456947327,2.4364912450313567,0.47118860483169556,2.4020467240455723,146.071
SGD,32.0,0.001,L2-Dropout,0.01,0.0,0.3,0.4572784900665283,2.4974104881286623,0.4072997272014618,2.5412420930941244,141.17
SGD,32.0,0.001,L1,0.0,0.001,0.0,0.4525316655635834,2.2384208381175994,0.5667312145233154,2.0390595483385825,137.083
SGD,32.0,0.001,L2-Dropout,0.001,0.0,0.3,0.43829116225242615,2.4172762393951417,0.41673123836517334,2.472325526978359,138.918
Adam,32.0,0.001,Elastic-Dropout,0.01,0.01,0.3,0.4003164768218994,2.293031930923462,0.4385012686252594,2.338916962304391,157.392
SGD,32.0,0.001,Dropout,0.0,0.0,0.3,0.39240506291389465,2.5412070393562316,0.3987079858779907,2.517556242706362,133.4
SGD,64.0,0.001,Elastic,0.01,0.001,0.0,0.3734177350997925,2.6103450775146486,0.44980618357658386,2.4693332023857053,136.433
SGD,64.0,0.001,Elastic,0.001,0.001,0.0,0.3718354403972626,2.5809033632278444,0.44767439365386963,2.4461713004703363,135.307
SGD,64.0,0.001,Elastic,0.001,0.01,0.0,0.3670886158943176,2.580932927131653,0.43934106826782227,2.461981311317318,137.781
SGD,64.0,0.001,Elastic,0.01,0.01,0.0,0.3655063509941101,2.6052057266235353,0.4273901581764221,2.5329799228463292,133.625
SGD,64.0,0.001,L2,0.001,0.0,0.0,0.35759493708610535,2.695271396636963,0.4107235074043274,2.511855819008567,154.52
SGD,64.0,0.001,L2-Dropout,0.001,0.0,0.3,0.33702531456947327,2.860450530052185,0.2790697515010834,2.9194417453009236,131.323
SGD,64.0,0.001,L1-Dropout,0.0,0.01,0.3,0.3322784900665283,2.7960017204284666,0.31498706340789795,2.8213782103593683,138.011
SGD,64.0,0.001,Dropout,0.0,0.0,0.3,0.3306962251663208,2.8311124086380004,0.25600773096084595,2.9677144269312707,128.955
SGD,64.0,0.001,L2,0.01,0.0,0.0,0.3180379867553711,2.6909087181091307,0.39948317408561707,2.5517714043294104,131.631
SGD,64.0,0.001,L1,0.0,0.001,0.0,0.3164556920528412,2.6916430234909057,0.434883713722229,2.486885982111466,131.957
SGD,64.0,0.001,L1,0.0,0.01,0.0,0.3101266026496887,2.7843204975128173,0.41563305258750916,2.5563881170651146,135.251
SGD,64.0,0.001,Elastic-Dropout,0.01,0.01,0.3,0.30379748344421387,2.8905470609664916,0.28152453899383545,2.8976238108863517,132.437
SGD,64.0,0.001,L1-Dropout,0.0,0.001,0.3,0.2958860695362091,2.934309649467468,0.28223511576652527,2.896591113618583,136.3
SGD,64.0,0.001,Elastic-Dropout,0.01,0.001,0.3,0.2943038046360016,2.924173426628113,0.2720929980278015,2.955577235576535,133.486
SGD,64.0,0.001,No Regularization,0.0,0.0,0.0,0.28006330132484436,2.8251700401306152,0.39586561918258667,2.5693998139751844,130.975
SGD,64.0,0.001,Elastic-Dropout,0.001,0.001,0.3,0.27689874172210693,2.86795175075531,0.25006458163261414,2.9347441925490196,133.717
SGD,64.0,0.001,L2-Dropout,0.01,0.0,0.3,0.2705696225166321,2.9335811853408815,0.27131780982017517,2.9386197633979734,131.762
SGD,64.0,0.001,Elastic-Dropout,0.001,0.01,0.3,0.2594936788082123,3.012138819694519,0.24844960868358612,2.9945632987771154,136.118
SGD,128.0,0.001,L2,0.01,0.0,0.0,0.23259493708610535,3.0000783920288088,0.26737725734710693,2.912935741676772,124.121
SGD,128.0,0.001,No Regularization,0.0,0.0,0.0,0.2278481125831604,3.1402250289916993,0.2490956038236618,2.9643952038662493,122.984
SGD,128.0,0.001,Elastic,0.01,0.01,0.0,0.21360759437084198,3.1740061759948732,0.275452196598053,2.9941267612551856,124.389
SGD,128.0,0.001,Elastic-Dropout,0.001,0.01,0.3,0.20886076986789703,3.1997211933135987,0.1479974091053009,3.29654391935049,125.949
SGD,128.0,0.001,Elastic,0.01,0.001,0.0,0.2041139304637909,3.138149309158325,0.2638888657093048,2.9713746240316343,126.601
SGD,128.0,0.001,L2,0.001,0.0,0.0,0.20253165066242218,3.1163009643554687,0.2647932767868042,2.9921504879785963,123.295
SGD,128.0,0.001,Dropout,0.0,0.0,0.3,0.19936709105968475,3.168953371047974,0.15471576154232025,3.3056226801281134,117.362
SGD,128.0,0.001,Elastic,0.001,0.01,0.0,0.19936709105968475,3.208158493041992,0.27816537022590637,2.957202261144465,126.426
SGD,128.0,0.001,Elastic,0.001,0.001,0.0,0.18987342715263367,3.170711803436279,0.2755167782306671,2.9235498905181885,125.318
SGD,128.0,0.001,L1,0.0,0.01,0.0,0.1835443079471588,3.1861446380615233,0.25626614689826965,2.9642687553216605,127.777
SGD,128.0,0.001,L2-Dropout,0.01,0.0,0.3,0.1819620281457901,3.3370644569396974,0.1299741566181183,3.3569759022105825,123.955
SGD,128.0,0.001,L2-Dropout,0.001,0.0,0.3,0.1803797483444214,3.300891065597534,0.1472868174314499,3.378920415216241,120.257
SGD,128.0,0.001,Elastic-Dropout,0.01,0.001,0.3,0.16455696523189545,3.2834794998168944,0.1454780250787735,3.332377431806454,124.696
SGD,128.0,0.001,Elastic-Dropout,0.001,0.001,0.3,0.16455696523189545,3.3342488765716554,0.13669249415397644,3.3609882031590486,127.645
SGD,128.0,0.001,Elastic-Dropout,0.01,0.01,0.3,0.15506330132484436,3.265761375427246,0.13695089519023895,3.315172632863699,118.441
SGD,256.0,0.001,L1,0.0,0.01,0.0,0.15348102152347565,3.433072805404663,0.1486434042453766,3.333970042525745,119.566
SGD,128.0,0.001,L1,0.0,0.001,0.0,0.15031646192073822,3.2879987239837645,0.2192506343126297,3.0772132873535156,122.067
SGD,128.0,0.001,L1-Dropout,0.0,0.001,0.3,0.14240506291389465,3.4016226291656495,0.16020670533180237,3.3184829743440485,122.422
SGD,128.0,0.001,L1-Dropout,0.0,0.01,0.3,0.14082278311252594,3.340953063964844,0.1605297029018402,3.302960275618498,125.962
SGD,256.0,0.001,Elastic,0.01,0.001,0.0,0.13449367880821228,3.437385161717733,0.16272608935832977,3.3158787782074977,119.118
SGD,256.0,0.001,Elastic,0.01,0.01,0.0,0.13291139900684357,3.4823876221974692,0.1459302306175232,3.362385941333458,117.592
SGD,256.0,0.001,L1,0.0,0.001,0.0,0.12974683940410614,3.4516893227895102,0.14883720874786377,3.2767712600895615,117.11
SGD,256.0,0.001,Elastic,0.001,0.001,0.0,0.125,3.551344315210978,0.16169250011444092,3.328381464129589,116.202
SGD,256.0,0.001,Elastic-Dropout,0.001,0.01,0.3,0.12025316804647446,3.497839609781901,0.10012919455766678,3.571795076620383,119.412
SGD,256.0,0.001,Elastic,0.001,0.01,0.0,0.11708860844373703,3.5447000662485757,0.1545865535736084,3.3344241517489075,121.72
SGD,256.0,0.001,L2,0.001,0.0,0.0,0.1139240562915802,3.469092845916748,0.1472868174314499,3.3297296782008936,116.39
SGD,256.0,0.001,Dropout,0.0,0.0,0.3,0.1139240562915802,3.502340078353882,0.0903746709227562,3.5798038185619916,117.519
SGD,256.0,0.001,L2-Dropout,0.01,0.0,0.3,0.10917721688747406,3.5455610752105713,0.09321705251932144,3.5834500359707193,118.409
SGD,256.0,0.001,No Regularization,0.0,0.0,0.0,0.09968354552984238,3.5025711059570312,0.13404391705989838,3.369778449418115,121.421
SGD,256.0,0.001,L2,0.01,0.0,0.0,0.09810126572847366,3.6040459473927817,0.16466407477855682,3.3092631824681016,125.906
SGD,256.0,0.001,Elastic-Dropout,0.01,0.01,0.3,0.09493671357631683,3.6476943492889404,0.095607228577137,3.5961111334503673,119.13
SGD,256.0,0.001,Elastic-Dropout,0.01,0.001,0.3,0.09335443377494812,3.6594364643096924,0.07151162624359131,3.6511607912720225,123.375
SGD,256.0,0.001,Elastic-Dropout,0.001,0.001,0.3,0.08702532202005386,3.4985293547312417,0.06531007587909698,3.6482697080393307,119.176
SGD,256.0,0.001,L1-Dropout,0.0,0.01,0.3,0.08544304221868515,3.6114467779795327,0.07009043544530869,3.7027254339124336,116.616
SGD,256.0,0.001,L2-Dropout,0.001,0.0,0.3,0.08544304221868515,3.6651554902394614,0.0767441838979721,3.6809189944970804,119.087
SGD,256.0,0.001,L1-Dropout,0.0,0.001,0.3,0.07594937086105347,3.603516419728597,0.08359172940254211,3.6276538997400003,117.143
